kind	pascalName	pascalValue	language	mnemonic	context	status	javaAnalog	note
key	kbHome	$004700			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftHome	$034700			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlHome	$047700			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltHome	$089700			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbEnd	$004F00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftEnd	$034F00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlEnd	$047500			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltEnd	$089F00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbPgUp	$004900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftPgUp	$034900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlPgUp	$048400			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltPgUp	$089900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbPgDn	$005100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftPgDn	$035100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlPgDn	$047600			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltPgDn	$08A100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftIns	$079200			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftIns	$0BA200			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftDel	$079300			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftDel	$0BA300			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftHome	$077700			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftHome	$0B9700			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftEnd	$077500			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftEnd	$0B9F00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftPgUp	$078400			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftPgUp	$0B9900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftPgDn	$077600			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftPgDn	$0BA100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltIns	$0CA200			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftIns	$0FA200			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltDel	$0CA300			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftDel	$0FA300			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltHome	$0C9700			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftHome	$0F9700			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltEnd	$0C9F00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftEnd	$0F9F00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltPgUp	$0C9900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftPgUp	$0F9900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltPgDn	$0CA100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftPgDn	$0FA100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbLeft	$004B00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftLeft	$034B00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlLeft	$047300			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltLeft	$089B00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbRight	$004D00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftRight	$034D00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
